Wave ,bb*chl,bb*mss
400,0.00171506,0.016486695
405,0.001699933,0.01642017
410,0.001685123,0.016354725
415,0.001670618,0.016290329
420,0.00165641,0.016226953
425,0.001642489,0.01616457
430,0.001628845,0.016103152
435,0.001615471,0.016042673
440,0.001602357,0.015983109
445,0.001589497,0.015924435
450,0.001576881,0.015866629
455,0.001564503,0.015809668
460,0.001552357,0.01575353
465,0.001540434,0.015698196
470,0.001528729,0.015643644
475,0.001517235,0.015589856
480,0.001505947,0.015536814
485,0.001494858,0.015484499
490,0.001483964,0.015432894
495,0.001473258,0.015381983
500,0.001462736,0.015331748
505,0.001452393,0.015282175
510,0.001442224,0.015233248
515,0.001432224,0.015184953
520,0.001422389,0.015137276
525,0.001412715,0.015090202
530,0.001403197,0.015043719
535,0.001393832,0.014997813
540,0.001384615,0.014952473
545,0.001375544,0.014907686
550,0.001366614,0.01486344
555,0.001357822,0.014819724
560,0.001349165,0.014776527
565,0.001340639,0.014733838
570,0.001332242,0.014691647
575,0.00132397,0.014649944
580,0.00131582,0.014608718
585,0.001307789,0.014567961
590,0.001299876,0.014527663
595,0.001292076,0.014487816
600,0.001284388,0.014448409
605,0.001276809,0.014409436
610,0.001269336,0.014370887
615,0.001261968,0.014332755
620,0.001254701,0.014295031
625,0.001247535,0.014257709
630,0.001240465,0.01422078
635,0.001233492,0.014184238
640,0.001226611,0.014148075
645,0.001219822,0.014112285
650,0.001213123,0.01407686
655,0.001206512,0.014041795
660,0.001199986,0.014007083
665,0.001193544,0.013972717
670,0.001187185,0.013938693
675,0.001180907,0.013905003
680,0.001174708,0.013871643
685,0.001168586,0.013838606
690,0.001162541,0.013805887
695,0.00115657,0.013773481
700,0.001150672,0.013741383
705,0.001144847,0.013709587
710,0.001139091,0.013678088
715,0.001133404,0.013646882
720,0.001127785,0.013615964
725,0.001122233,0.01358533
730,0.001116746,0.013554974
735,0.001111323,0.013524892
740,0.001105962,0.013495081
745,0.001100664,0.013465535
750,0.001095425,0.013436251
